Table 1
State,NCESID,District,Included in national analysis,Included in nonwhite & white analysis,Included in nonwhite pov & white pov analysis,Racial concentration,Poverty,Urbanicity,Enrollment,Percent Nonwhite,Percent White,Student poverty rate,"State and local revenue, per pupil, cost adjusted","Local revenue, per pupil, cost adjusted","State revenue, per pupil, cost adjusted","State and local revenue, cost adjusted","Local revenue, cost adjusted","State revenue, cost adjusted",Median household income,Median property value
Alabama,100005,Albertville City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	5,214 ",50%,50%,38%," $	8,448 "," $	2,786 "," $	5,662 "," $	44,047,109 "," $	14,524,625 "," $	29,522,484 "," $	32,042 "," $	106,200 "
Alabama,100030,Alexander City City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	3,102 ",48%,52%,32%," $	9,520 "," $	3,949 "," $	5,572 "," $	29,531,847 "," $	12,248,408 "," $	17,283,439 "," $	32,959 "," $	107,500 "
Alabama,100060,Andalusia City School District,yes,no,no,Not concentrated,high poverty,33-Town: Remote," 	1,745 ",38%,62%,30%," $	9,852 "," $	4,169 "," $	5,683 "," $	17,190,889 "," $	7,274,403 "," $	9,916,486 "," $	34,012 "," $	97,900 "
Alabama,100090,Anniston City School District,yes,yes,yes,Concentrated nonwhite,high poverty,13-City: Small," 	2,099 ",95%,5%,37%," $	9,554 "," $	3,809 "," $	5,745 "," $	20,052,798 "," $	7,994,720 "," $	12,058,078 "," $	30,539 "," $	98,500 "
Alabama,100100,Arab City School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe," 	2,540 ",5%,95%,23%," $	8,746 "," $	2,673 "," $	6,072 "," $	22,214,133 "," $	6,790,150 "," $	15,423,983 "," $	42,199 "," $	149,300 "
Alabama,100120,Athens City School District,yes,no,no,Not concentrated,low poverty,31-Town: Fringe," 	3,933 ",42%,58%,17%," $	9,865 "," $	4,919 "," $	4,947 "," $	38,800,636 "," $	19,344,645 "," $	19,455,992 "," $	45,920 "," $	139,400 "
Alabama,100180,Attalla City School District,yes,no,no,Not concentrated,high poverty,23-Suburb: Small," 	1,638 ",27%,73%,27%," $	8,725 "," $	1,976 "," $	6,750 "," $	14,292,242 "," $	3,235,919 "," $	11,056,323 "," $	38,921 "," $	72,200 "
Alabama,100210,Auburn City School District,yes,no,no,Not concentrated,low poverty,13-City: Small," 	8,310 ",42%,58%,14%," $	16,636 "," $	11,440 "," $	5,196 "," $	138,249,187 "," $	95,067,172 "," $	43,182,015 "," $	38,912 "," $	226,600 "
Alabama,100240,Autauga County School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe," 	9,609 ",32%,68%,18%," $	7,733 "," $	2,101 "," $	5,632 "," $	74,309,148 "," $	20,187,171 "," $	54,121,977 "," $	53,099 "," $	141,000 "
Alabama,100270,Baldwin County School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe," 	30,931 ",24%,76%,16%," $	10,421 "," $	5,685 "," $	4,736 "," $	322,323,529 "," $	175,828,782 "," $	146,494,748 "," $	51,365 "," $	173,400 "
Alabama,100300,Barbour County School District,yes,yes,yes,Concentrated nonwhite,high poverty,43-Rural: Remote, 	912 ,93%,7%,37%," $	9,321 "," $	2,863 "," $	6,458 "," $	8,500,559 "," $	2,611,173 "," $	5,889,385 "," $	34,632 "," $	73,600 "
Alabama,100330,Bessemer City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large," 	3,740 ",98%,2%,33%," $	8,562 "," $	3,027 "," $	5,535 "," $	32,020,690 "," $	11,321,182 "," $	20,699,507 "," $	30,682 "," $	85,300 "
Alabama,100360,Bibb County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant," 	3,322 ",26%,74%,26%," $	9,249 "," $	2,244 "," $	7,004 "," $	30,724,138 "," $	7,456,062 "," $	23,268,076 "," $	39,776 "," $	97,200 "
Alabama,100390,Birmingham City School District,yes,yes,yes,Concentrated nonwhite,high poverty,12-City: Mid-size," 	24,693 ",99%,1%,37%," $	8,999 "," $	4,196 "," $	4,803 "," $	222,207,882 "," $	103,613,793 "," $	118,594,089 "," $	32,404 "," $	87,100 "
Alabama,100420,Blount County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant," 	7,870 ",16%,84%,17%," $	8,452 "," $	1,988 "," $	6,464 "," $	66,517,544 "," $	15,648,026 "," $	50,869,518 "," $	46,160 "," $	122,800 "
Alabama,100012,Boaz City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	2,310 ",34%,66%,27%," $	9,049 "," $	3,118 "," $	5,931 "," $	20,903,640 "," $	7,202,355 "," $	13,701,285 "," $	39,328 "," $	107,600 "
Alabama,100450,Brewton City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	1,158 ",40%,60%,38%," $	9,467 "," $	3,432 "," $	6,036 "," $	10,963,043 "," $	3,973,913 "," $	6,989,130 "," $	35,744 "," $	97,400 "
Alabama,100480,Bullock County School District,yes,yes,yes,Concentrated nonwhite,high poverty,32-Town: Distant," 	1,505 ",98%,2%,43%," $	8,718 "," $	1,935 "," $	6,783 "," $	13,120,551 "," $	2,912,744 "," $	10,207,807 "," $	29,335 "," $	68,000 "
Alabama,100510,Butler County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	3,135 ",66%,34%,34%," $	8,496 "," $	2,282 "," $	6,214 "," $	26,634,886 "," $	7,152,763 "," $	19,482,124 "," $	34,315 "," $	83,000 "
Alabama,100540,Calhoun County School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe," 	9,054 ",21%,79%,19%," $	8,799 "," $	2,685 "," $	6,114 "," $	79,667,371 "," $	24,311,510 "," $	55,355,861 "," $	47,202 "," $	103,500 "
Alabama,100600,Chambers County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant," 	3,729 ",51%,49%,29%," $	8,645 "," $	2,588 "," $	6,056 "," $	32,235,808 "," $	9,651,747 "," $	22,584,061 "," $	37,508 "," $	83,100 "
Alabama,100630,Cherokee County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant," 	4,042 ",15%,85%,25%," $	9,366 "," $	3,214 "," $	6,152 "," $	37,857,451 "," $	12,991,361 "," $	24,866,091 "," $	38,925 "," $	112,500 "
Alabama,100188,Chickasaw City School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large," 	1,032 ",72%,28%,47%," $	7,361 "," $	2,060 "," $	5,302 "," $	7,596,859 "," $	2,125,654 "," $	5,471,204 "," $	28,893 "," $	78,200 "
Alabama,100660,Chilton County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant," 	7,743 ",28%,72%,24%," $	7,849 "," $	1,941 "," $	5,908 "," $	60,776,688 "," $	15,027,233 "," $	45,749,455 "," $	42,594 "," $	99,100 "
Alabama,100690,Choctaw County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote," 	1,495 ",68%,32%,30%," $	10,672 "," $	4,632 "," $	6,040 "," $	15,955,289 "," $	6,924,755 "," $	9,030,534 "," $	32,622 "," $	64,600 "
Alabama,100720,Clarke County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote," 	2,717 ",68%,32%,36%," $	9,104 "," $	2,644 "," $	6,460 "," $	24,735,931 "," $	7,182,900 "," $	17,553,030 "," $	31,372 "," $	84,200 "
Alabama,100750,Clay County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant," 	1,978 ",26%,74%,26%," $	8,644 "," $	1,856 "," $	6,788 "," $	17,097,481 "," $	3,671,413 "," $	13,426,068 "," $	38,815 "," $	90,000 "
Alabama,100780,Cleburne County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant," 	2,631 ",10%,90%,23%," $	8,860 "," $	1,984 "," $	6,876 "," $	23,309,859 "," $	5,218,852 "," $	18,091,008 "," $	36,278 "," $	109,600 "
Alabama,100810,Coffee County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant," 	2,081 ",11%,89%,16%," $	8,466 "," $	2,327 "," $	6,139 "," $	17,617,464 "," $	4,843,035 "," $	12,774,428 "," $	46,136 "," $	106,100 "
