CNTY,"State and local revenue, per pupil, cost adjusted",Racial concentration
01095,8448.0,Not concentrated
01123,9520.0,Not concentrated
01039,9852.0,Not concentrated
01015,9554.0,Concentrated nonwhite
01095,8746.0,Concentrated white
01083,9865.0,Not concentrated
01055,8725.0,Not concentrated
01081,16636.0,Not concentrated
01001,7733.0,Not concentrated
01003,10421.0,Concentrated white
01005,9321.0,Concentrated nonwhite
01073,8562.0,Concentrated nonwhite
01007,9249.0,Not concentrated
01073,8999.0,Concentrated nonwhite
01009,8452.0,Concentrated white
01095,9049.0,Not concentrated
01053,9467.0,Not concentrated
01011,8718.0,Concentrated nonwhite
01013,8496.0,Not concentrated
01015,8799.0,Concentrated white
01017,8645.0,Not concentrated
01019,9366.0,Concentrated white
01097,7361.0,Not concentrated
01021,7849.0,Not concentrated
01023,10672.0,Not concentrated
01025,9104.0,Not concentrated
01027,8644.0,Not concentrated
01029,8860.0,Concentrated white
01031,8466.0,Concentrated white
01033,11079.0,Concentrated white
01035,13266.0,Concentrated nonwhite
01037,9723.0,Not concentrated
01039,9069.0,Concentrated white
01041,8632.0,Not concentrated
01043,9331.0,Concentrated white
01043,9335.0,Concentrated white
01045,8690.0,Concentrated white
01045,8725.0,Not concentrated
01047,9411.0,Concentrated nonwhite
01103,10613.0,Not concentrated
01049,8669.0,Not concentrated
01091,7835.0,Not concentrated
01069,8136.0,Not concentrated
01031,10070.0,Not concentrated
01051,8101.0,Not concentrated
01031,8101.0,Not concentrated
01053,9382.0,Not concentrated
01055,8312.0,Concentrated white
01005,8517.0,Not concentrated
01073,8078.0,Concentrated nonwhite
01057,8812.0,Concentrated white
01077,11501.0,Not concentrated
01049,8426.0,Not concentrated
01059,9120.0,Concentrated white
01055,8635.0,Not concentrated
01061,9606.0,Concentrated white
01061,8606.0,Concentrated white
01063,10839.0,Concentrated nonwhite
01095,9443.0,Not concentrated
01065,9546.0,Not concentrated
01133,9248.0,Concentrated white
01103,9542.0,Concentrated white
01067,8763.0,Not concentrated
01073,11864.0,Not concentrated
01073,11101.0,Not concentrated
01069,7804.0,Concentrated white
01089,9835.0,Not concentrated
01071,9661.0,Concentrated white
01015,8847.0,Not concentrated
01127,9420.0,Not concentrated
01073,8197.0,Not concentrated
01075,8756.0,Concentrated white
01017,9490.0,Concentrated nonwhite
01077,8555.0,Concentrated white
01079,9955.0,Not concentrated
01081,9441.0,Not concentrated
01073,13180.0,Not concentrated
01083,9526.0,Concentrated white
01091,9493.0,Concentrated nonwhite
01085,10320.0,Concentrated nonwhite
01087,9473.0,Concentrated nonwhite
01089,9763.0,Not concentrated
01089,8719.0,Not concentrated
01091,9497.0,Not concentrated
01093,8844.0,Concentrated white
01095,8858.0,Concentrated white
01073,8024.0,Concentrated nonwhite
01097,8532.0,Not concentrated
01099,8272.0,Not concentrated
01101,8311.0,Concentrated nonwhite
01103,9532.0,Concentrated white
01073,13216.0,Concentrated white
01033,9902.0,Not concentrated
01009,8921.0,Not concentrated
