State,NCESID,District,Included in national analysis,Included in nonwhite & white analysis,Included in nonwhite pov & white pov analysis,Racial concentration,Poverty,Urbanicity,Enrollment,Percent Nonwhite,Percent White,Student poverty rate,"State and local revenue, per pupil, cost adjusted","Local revenue, per pupil, cost adjusted","State revenue, per pupil, cost adjusted","State and local revenue, cost adjusted","Local revenue, cost adjusted","State revenue, cost adjusted",Median household income,Median property value
Alabama,100005,Albertville City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"5,214",50%,50%,38%,"$8,448.00","$2,786.00","$5,662.00","$44,047,109.00","$14,524,625.00","$29,522,484.00","$32,042.00","$106,200.00"
Alabama,100030,Alexander City City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"3,102",48%,52%,32%,"$9,520.00","$3,949.00","$5,572.00","$29,531,847.00","$12,248,408.00","$17,283,439.00","$32,959.00","$107,500.00"
Alabama,100060,Andalusia City School District,yes,no,no,Not concentrated,high poverty,33-Town: Remote,"1,745",38%,62%,30%,"$9,852.00","$4,169.00","$5,683.00","$17,190,889.00","$7,274,403.00","$9,916,486.00","$34,012.00","$97,900.00"
Alabama,100090,Anniston City School District,yes,yes,yes,Concentrated nonwhite,high poverty,13-City: Small,"2,099",95%,5%,37%,"$9,554.00","$3,809.00","$5,745.00","$20,052,798.00","$7,994,720.00","$12,058,078.00","$30,539.00","$98,500.00"
Alabama,100100,Arab City School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"2,540",5%,95%,23%,"$8,746.00","$2,673.00","$6,072.00","$22,214,133.00","$6,790,150.00","$15,423,983.00","$42,199.00","$149,300.00"
Alabama,100120,Athens City School District,yes,no,no,Not concentrated,low poverty,31-Town: Fringe,"3,933",42%,58%,17%,"$9,865.00","$4,919.00","$4,947.00","$38,800,636.00","$19,344,645.00","$19,455,992.00","$45,920.00","$139,400.00"
Alabama,100180,Attalla City School District,yes,no,no,Not concentrated,high poverty,23-Suburb: Small,"1,638",27%,73%,27%,"$8,725.00","$1,976.00","$6,750.00","$14,292,242.00","$3,235,919.00","$11,056,323.00","$38,921.00","$72,200.00"
Alabama,100210,Auburn City School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"8,310",42%,58%,14%,"$16,636.00","$11,440.00","$5,196.00","$138,249,187.00","$95,067,172.00","$43,182,015.00","$38,912.00","$226,600.00"
Alabama,100240,Autauga County School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,"9,609",32%,68%,18%,"$7,733.00","$2,101.00","$5,632.00","$74,309,148.00","$20,187,171.00","$54,121,977.00","$53,099.00","$141,000.00"
Alabama,100270,Baldwin County School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"30,931",24%,76%,16%,"$10,421.00","$5,685.00","$4,736.00","$322,323,529.00","$175,828,782.00","$146,494,748.00","$51,365.00","$173,400.00"
Alabama,100300,Barbour County School District,yes,yes,yes,Concentrated nonwhite,high poverty,43-Rural: Remote,912,93%,7%,37%,"$9,321.00","$2,863.00","$6,458.00","$8,500,559.00","$2,611,173.00","$5,889,385.00","$34,632.00","$73,600.00"
Alabama,100330,Bessemer City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"3,740",98%,2%,33%,"$8,562.00","$3,027.00","$5,535.00","$32,020,690.00","$11,321,182.00","$20,699,507.00","$30,682.00","$85,300.00"
Alabama,100360,Bibb County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"3,322",26%,74%,26%,"$9,249.00","$2,244.00","$7,004.00","$30,724,138.00","$7,456,062.00","$23,268,076.00","$39,776.00","$97,200.00"
Alabama,100390,Birmingham City School District,yes,yes,yes,Concentrated nonwhite,high poverty,12-City: Mid-size,"24,693",99%,1%,37%,"$8,999.00","$4,196.00","$4,803.00","$222,207,882.00","$103,613,793.00","$118,594,089.00","$32,404.00","$87,100.00"
Alabama,100420,Blount County School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,"7,870",16%,84%,17%,"$8,452.00","$1,988.00","$6,464.00","$66,517,544.00","$15,648,026.00","$50,869,518.00","$46,160.00","$122,800.00"
Alabama,100012,Boaz City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"2,310",34%,66%,27%,"$9,049.00","$3,118.00","$5,931.00","$20,903,640.00","$7,202,355.00","$13,701,285.00","$39,328.00","$107,600.00"
Alabama,100450,Brewton City School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"1,158",40%,60%,38%,"$9,467.00","$3,432.00","$6,036.00","$10,963,043.00","$3,973,913.00","$6,989,130.00","$35,744.00","$97,400.00"
Alabama,100480,Bullock County School District,yes,yes,yes,Concentrated nonwhite,high poverty,32-Town: Distant,"1,505",98%,2%,43%,"$8,718.00","$1,935.00","$6,783.00","$13,120,551.00","$2,912,744.00","$10,207,807.00","$29,335.00","$68,000.00"
Alabama,100510,Butler County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"3,135",66%,34%,34%,"$8,496.00","$2,282.00","$6,214.00","$26,634,886.00","$7,152,763.00","$19,482,124.00","$34,315.00","$83,000.00"
Alabama,100540,Calhoun County School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"9,054",21%,79%,19%,"$8,799.00","$2,685.00","$6,114.00","$79,667,371.00","$24,311,510.00","$55,355,861.00","$47,202.00","$103,500.00"
Alabama,100600,Chambers County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"3,729",51%,49%,29%,"$8,645.00","$2,588.00","$6,056.00","$32,235,808.00","$9,651,747.00","$22,584,061.00","$37,508.00","$83,100.00"
Alabama,100630,Cherokee County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"4,042",15%,85%,25%,"$9,366.00","$3,214.00","$6,152.00","$37,857,451.00","$12,991,361.00","$24,866,091.00","$38,925.00","$112,500.00"
Alabama,100188,Chickasaw City School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large,"1,032",72%,28%,47%,"$7,361.00","$2,060.00","$5,302.00","$7,596,859.00","$2,125,654.00","$5,471,204.00","$28,893.00","$78,200.00"
Alabama,100660,Chilton County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"7,743",28%,72%,24%,"$7,849.00","$1,941.00","$5,908.00","$60,776,688.00","$15,027,233.00","$45,749,455.00","$42,594.00","$99,100.00"
Alabama,100690,Choctaw County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,"1,495",68%,32%,30%,"$10,672.00","$4,632.00","$6,040.00","$15,955,289.00","$6,924,755.00","$9,030,534.00","$32,622.00","$64,600.00"
Alabama,100720,Clarke County School District,yes,no,no,Not concentrated,high poverty,43-Rural: Remote,"2,717",68%,32%,36%,"$9,104.00","$2,644.00","$6,460.00","$24,735,931.00","$7,182,900.00","$17,553,030.00","$31,372.00","$84,200.00"
Alabama,100750,Clay County School District,yes,no,no,Not concentrated,high poverty,42-Rural: Distant,"1,978",26%,74%,26%,"$8,644.00","$1,856.00","$6,788.00","$17,097,481.00","$3,671,413.00","$13,426,068.00","$38,815.00","$90,000.00"
Alabama,100780,Cleburne County School District,yes,yes,no,Concentrated white,high poverty,42-Rural: Distant,"2,631",10%,90%,23%,"$8,860.00","$1,984.00","$6,876.00","$23,309,859.00","$5,218,852.00","$18,091,008.00","$36,278.00","$109,600.00"
