State,Gap in spending per student
Alabama,9275
Alaska,28653
Arizona,66328
Arkansas,15144
California,49125
Colorado,26512
Connecticut,21533
Delaware,9199
District of Columbia,0
Florida,4815
Georgia,16543
Hawaii,0
Idaho,73762
Illinois,35807
Indiana,14911
Iowa,10218
Kansas,17404
Kentucky,11635
Louisiana,18559
Maine,41171
Maryland,5834
Massachusetts,32939
Michigan,79169
Minnesota,10921
Mississippi,8247
Missouri,20687
Montana,71001
Nebraska,23657
Nevada,28916
New Hampshire,22032
New Jersey,40450
New Mexico,41832
New York,61640
North Carolina,9282
North Dakota,43918
Ohio,32250
Oklahoma,30393
Oregon,70502
Pennsylvania,25182
Rhode Island,25104
South Carolina,8913
South Dakota,23237
Tennessee,6997
Texas,41163
Utah,11211
Vermont,17644
Virginia,9737
Washington,39921
West Virginia,10044
Wisconsin,21122
Wyoming,26489
