CNTY,"State and local revenue, per pupil, cost adjusted"
1095,8448.0
1123,9520.0
1039,9852.0
1015,9554.0
1095,8746.0
1083,9865.0
1055,8725.0
1081,16636.0
1001,7733.0
1003,10421.0
1005,9321.0
1073,8562.0
1007,9249.0
1073,8999.0
1009,8452.0
1095,9049.0
1053,9467.0
1011,8718.0
1013,8496.0
1015,8799.0
1017,8645.0
1019,9366.0
1097,7361.0
1021,7849.0
1023,10672.0
1025,9104.0
1027,8644.0
1029,8860.0
1031,8466.0
1033,11079.0
1035,13266.0
1037,9723.0
1039,9069.0
1041,8632.0
1043,9331.0
1043,9335.0
1045,8690.0
1045,8725.0
1047,9411.0
1103,10613.0
1049,8669.0
1091,7835.0
1069,8136.0
1031,10070.0
1051,8101.0
1031,8101.0
1053,9382.0
1055,8312.0
1005,8517.0
1073,8078.0
1057,8812.0
1077,11501.0
1049,8426.0
1059,9120.0
1055,8635.0
1061,9606.0
1061,8606.0
1063,10839.0
1095,9443.0
1065,9546.0
1133,9248.0
1103,9542.0
1067,8763.0
1073,11864.0
1073,11101.0
1069,7804.0
1089,9835.0
1071,9661.0
1015,8847.0
1127,9420.0
1073,8197.0
1075,8756.0
1017,9490.0
1077,8555.0
1079,9955.0
1081,9441.0
1073,13180.0
1083,9526.0
1091,9493.0
1085,10320.0
1087,9473.0
1089,9763.0
1089,8719.0
1091,9497.0
1093,8844.0
1095,8858.0
1073,8024.0
1097,8532.0
1099,8272.0
1101,8311.0
1103,9532.0
1073,13216.0
1033,9902.0
1009,8921.0
1081,10668.0
1039,9257.0
1015,9747.0
1045,9804.0
1115,8693.0
1105,8761.0
1113,8569.0
1107,9540.0
1015,8283.0
1109,9472.0
1101,7864.0
1111,9072.0
1111,8026.0
1113,8546.0
1059,8935.0
1097,9115.0
1097,9197.0
1071,10469.0
1047,7820.0
1033,11317.0
1117,9461.0
1115,8205.0
1119,10273.0
1121,9073.0
1121,9641.0
1121,9282.0
1123,9363.0
1051,8809.0
1073,8409.0
1025,9445.0
1109,9493.0
1073,10022.0
1125,10828.0
1125,9110.0
1033,9253.0
1073,10401.0
1127,8755.0
1129,8865.0
1131,9829.0
1093,9783.0
1133,10257.0
2240,18289.0
2020,28407.0
2013,20003.0
2020,9299.0
2180,15133.0
2060,20089.0
2105,18794.0
2020,9209.0
2261,13154.0
2261,13057.0
2198,8922.0
2240,11649.0
2068,8271.0
