CNTY,NMCNTY,"State and local revenue, per pupil, cost adjusted",Enrollment,Percent White,Student poverty rate,Median household income,Median property value
01095,Marshall County,8448.0,5214,50,38.0,32042.0,106200.0
01123,Tallapoosa County,9520.0,3102,52,32.0,32959.0,107500.0
01039,Covington County,9852.0,1745,62,30.0,34012.0,97900.0
01015,Calhoun County,9554.0,2099,5,37.0,30539.0,98500.0
01095,Marshall County,8746.0,2540,95,23.0,42199.0,149300.0
01083,Limestone County,9865.0,3933,58,17.0,45920.0,139400.0
01055,Etowah County,8725.0,1638,73,27.0,38921.0,72200.0
01081,Lee County,16636.0,8310,58,14.0,38912.0,226600.0
01001,Autauga County,7733.0,9609,68,18.0,53099.0,141000.0
01003,Baldwin County,10421.0,30931,76,16.0,51365.0,173400.0
01005,Barbour County,9321.0,912,7,37.0,34632.0,73600.0
01073,Jefferson County,8562.0,3740,2,33.0,30682.0,85300.0
01007,Bibb County,9249.0,3322,74,26.0,39776.0,97200.0
01073,Jefferson County,8999.0,24693,1,37.0,32404.0,87100.0
01009,Blount County,8452.0,7870,84,17.0,46160.0,122800.0
01095,Marshall County,9049.0,2310,66,27.0,39328.0,107600.0
01053,Escambia County,9467.0,1158,60,38.0,35744.0,97400.0
01011,Bullock County,8718.0,1505,2,43.0,29335.0,68000.0
01013,Butler County,8496.0,3135,34,34.0,34315.0,83000.0
01015,Calhoun County,8799.0,9054,79,19.0,47202.0,103500.0
01017,Chambers County,8645.0,3729,49,29.0,37508.0,83100.0
01019,Cherokee County,9366.0,4042,85,25.0,38925.0,112500.0
01097,Mobile County,7361.0,1032,28,47.0,28893.0,78200.0
01021,Chilton County,7849.0,7743,72,24.0,42594.0,99100.0
01023,Choctaw County,10672.0,1495,32,30.0,32622.0,64600.0
01025,Clarke County,9104.0,2717,32,36.0,31372.0,84200.0
01027,Clay County,8644.0,1978,74,26.0,38815.0,90000.0
01029,Cleburne County,8860.0,2631,90,23.0,36278.0,109600.0
01031,Coffee County,8466.0,2081,89,16.0,46136.0,106100.0
01033,Colbert County,11079.0,2638,81,23.0,42465.0,94700.0
01035,Conecuh County,13266.0,1525,16,42.0,27609.0,72300.0
01037,Coosa County,9723.0,1003,51,28.0,31910.0,76500.0
01039,Covington County,9069.0,3178,90,24.0,41206.0,94700.0
01041,Crenshaw County,8632.0,2239,63,26.0,37557.0,77600.0
01043,Cullman County,9331.0,3130,87,21.0,40817.0,143400.0
01043,Cullman County,9335.0,9573,87,18.0,38821.0,112700.0
01045,Dale County,8690.0,3079,77,24.0,43945.0,103200.0
01045,Dale County,8725.0,1078,50,29.0,45803.0,111600.0
01047,Dallas County,9411.0,3243,23,52.0,32551.0,73900.0
01103,Morgan County,10613.0,8693,40,27.0,42602.0,127100.0
01049,DeKalb County,8669.0,9015,56,28.0,38212.0,96800.0
01091,Marengo County,7835.0,2289,43,36.0,25942.0,115100.0
01069,Houston County,8136.0,9336,37,27.0,42569.0,141000.0
01031,Coffee County,10070.0,615,44,27.0,28125.0,103300.0
01051,Elmore County,8101.0,11232,66,19.0,54098.0,154100.0
01031,Coffee County,8101.0,6823,59,19.0,54217.0,166500.0
01053,Escambia County,9382.0,4479,50,28.0,31864.0,92500.0
01055,Etowah County,8312.0,8802,91,20.0,49055.0,118400.0
01005,Barbour County,8517.0,2842,37,36.0,33362.0,126900.0
01073,Jefferson County,8078.0,1782,0,30.0,32723.0,95100.0
01057,Fayette County,8812.0,2403,82,27.0,35549.0,75300.0
01077,Lauderdale County,11501.0,4519,51,24.0,37058.0,126000.0
01049,DeKalb County,8426.0,3205,56,29.0,38445.0,115600.0
01059,Franklin County,9120.0,3388,87,24.0,37701.0,85200.0
01055,Etowah County,8635.0,5226,38,35.0,30496.0,72700.0
01061,Geneva County,9606.0,1275,83,30.0,37754.0,86300.0
01061,Geneva County,8606.0,2742,76,28.0,36230.0,77700.0
01063,Greene County,10839.0,1173,0,47.0,21339.0,68100.0
01095,Marshall County,9443.0,1999,74,26.0,42273.0,167500.0
01065,Hale County,9546.0,2687,29,32.0,33351.0,89400.0
01133,Winston County,9248.0,1711,88,25.0,29909.0,72700.0
01103,Morgan County,9542.0,3068,90,13.0,53853.0,131600.0
01067,Henry County,8763.0,2540,62,26.0,41045.0,101800.0
01073,Jefferson County,11864.0,4069,63,9.0,66573.0,299100.0
01073,Jefferson County,11101.0,13910,58,8.0,77503.0,266700.0
01069,Houston County,7804.0,6343,77,23.0,41021.0,96200.0
01089,Madison County,9835.0,23827,41,23.0,51441.0,168900.0
01071,Jackson County,9661.0,5528,82,21.0,37731.0,95200.0
01015,Calhoun County,8847.0,1544,62,23.0,39216.0,149400.0
01127,Walker County,9420.0,2746,71,29.0,39075.0,136000.0
01073,Jefferson County,8197.0,36092,43,17.0,52202.0,133200.0
01075,Lamar County,8756.0,2351,84,24.0,34298.0,71100.0
01017,Chambers County,9490.0,863,8,45.0,27297.0,81200.0
01077,Lauderdale County,8555.0,8445,94,17.0,50146.0,123300.0
01079,Lawrence County,9955.0,4841,75,23.0,42339.0,97600.0
01081,Lee County,9441.0,9771,69,17.0,49445.0,122500.0
01073,Jefferson County,13180.0,1905,60,20.0,56087.0,141600.0
01083,Limestone County,9526.0,8789,78,16.0,50334.0,136400.0
01091,Marengo County,9493.0,518,4,36.0,31417.0,83500.0
01085,Lowndes County,10320.0,1562,1,60.0,27914.0,68900.0
01087,Macon County,9473.0,2134,1,42.0,32390.0,77000.0
01089,Madison County,9763.0,10011,62,7.0,95423.0,233600.0
01089,Madison County,8719.0,19452,66,12.0,67125.0,160400.0
01091,Marengo County,9497.0,1090,35,31.0,32276.0,78500.0
01093,Marion County,8844.0,3405,90,27.0,32571.0,79400.0
01095,Marshall County,8858.0,5635,77,27.0,41248.0,110400.0
01073,Jefferson County,8024.0,1134,1,30.0,36647.0,75600.0
01097,Mobile County,8532.0,57581,42,29.0,43842.0,122600.0
01099,Monroe County,8272.0,3600,43,32.0,28182.0,87700.0
01101,Montgomery County,8311.0,30667,11,27.0,44062.0,118100.0
01103,Morgan County,9532.0,7757,86,18.0,49414.0,120400.0
01073,Jefferson County,13216.0,4371,96,6.0,129777.0,557300.0
01033,Colbert County,9902.0,2907,75,16.0,52132.0,135000.0
01009,Blount County,8921.0,1477,67,19.0,46750.0,153500.0
01081,Lee County,10668.0,4240,29,25.0,41566.0,153400.0
01039,Covington County,9257.0,1357,74,36.0,32923.0,87900.0
01015,Calhoun County,9747.0,4171,58,20.0,50809.0,126600.0
01045,Dale County,9804.0,2131,44,32.0,37688.0,98400.0
