Code,State,Gap in spending per student
AL,Alabama,9275
AK,Alaska,28653
AZ,Arizona,66328
AR,Arkansas,15144
CA,California,49125
CO,Colorado,26512
CT,Connecticut,21533
DE,Delaware,9199
FL,District of Columbia,0
GA,Florida,4815
HI,Georgia,16543
ID,Hawaii,0
IL,Idaho,73762
IN,Illinois,35807
IA,Indiana,14911
KS,Iowa,10218
KY,Kansas,17404
LA,Kentucky,11635
ME,Louisiana,18559
MD,Maine,41171
MA,Maryland,5834
MI,Massachusetts,32939
MN,Michigan,79169
MS,Minnesota,10921
MS,Mississippi,8247
MO,Missouri,20687
MT,Montana,71001
NE,Nebraska,23657
NV,Nevada,28916
NH,New Hampshire,22032
NJ,New Jersey,40450
NM,New Mexico,41832
NY,New York,61640
NC,North Carolina,9282
ND,North Dakota,43918
OH,Ohio,32250
OK,Oklahoma,30393
OR,Oregon,70502
PA,Pennsylvania,25182
RI,Rhode Island,25104
SC,South Carolina,8913
SD,South Dakota,23237
TN,Tennessee,6997
TX,Texas,41163
UT,Utah,11211
VT,Vermont,17644
VA,Virginia,9737
WA,Washington,39921
WV,West Virginia,10044
WI,Wisconsin,21122
WY,Wyoming,26489
