code,state,median_property_value
AL,Alabama,492700
AK,Alaska,289100
AZ,Arizona,493300
AR,Arkansas,156600
CA,California,1963301
CO,Colorado,627700
CT,Connecticut,1243600
DE,Delaware,151700
FL,Florida,331300
GA,Georgia,336000
HI,Hawaii,0
ID,Idaho,310800
IL,Illinois,996700
IN,Indiana,275600
IA,Iowa,223500
KS,Kansas,296200
KY,Kentucky,559900
LA,Louisiana,149800
ME,Maine,356900
MD,Maryland,341300
MA,Massachusetts,1027400
MI,Michigan,579800
MN,Minnesota,401300
MS,Mississippi,168900
MO,Missouri,528800
MT,Montana,628901
NE,Nebraska,244400
NV,Nevada,204600
NH,New Hampshire,862300
NJ,New Jersey,1917201
NM,New Mexico,244300
NY,New York,1457800
NC,North Carolina,303000
ND,North Dakota,293500
OH,Ohio,436600
OK,Oklahoma,419400
OR,Oregon,953400
PA,Pennsylvania,600300
RI,Rhode Island,924200
SC,South Carolina,219400
SD,South Dakota,175900
TN,Texas,1119900
TX,Utah,550800
UT,Virginia,653500
VT,Washington,888700
VA,West Virginia,181700
WA,Wisconsin,455700
WV,Wyoming,584700
